Controversial Flag,Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Locale,Detections by Radial Velocity Variations,Detected by Transits,Detected by Imaging,Orbital Period (years),Orbit Semi-Major Axis (au),Planet Radius (Earth Radius),Planet Mass (Earth Mass),Planet Density (g/cm**3),Eccentricity,Equilibrium Temperature (K),Inclination (deg),Transit Depth (%),Transit Duration (hrs),Ratio of Semi-Major Axis to Stellar Radius,Radial Velocity Amplitude (m/s),Spectral Type,Stellar Effective Temperature (K),Stellar Radius (Solar Radius),Stellar Mass (Solar mass),Stellar Metallicity (Solar Metallicity),Stellar Luminosity (log10(Solar)),Stellar Surface Gravity (log10(m/s^2)),Stellar Age (Gyr),Stellar Density (g/cm**3),Stellar Rotational Period (days),Systemic Radial Velocity (km/s),Total Proper Motion (mas/yr),Distance (ly),RA,Dec,U,B,G,V,R,I,Z,J,H,K,W1,W2,W3,W4,Spectral Class,Luminosity Class,Temperature Subscore,Eccentricity Subscore,Number of Stars Subscore,Habitability Score
0,K2-17 b,K2-17,b,1,1,0,Transit,2015,Space,0,1,0,0.049,0.119,2.23,5.6,2.77,0.18,487.0,89.08,0.099,2.592,0.02981,,K7,4320.0,0.66,0.71,1.4125,-0.997,2.8,,2.41242,,-10.67,28.5542158,408.0407,178.3296746,6.4123178,16.781,14.811,15.0397,13.411,13.255,12.7086,12.9601,11.076,10.436,10.308,10.216,10.264,10.122,8.658,K,---,0.0762222198881,0.999999999242,1.0,0.0
0,K2-170 b,K2-170,b,1,2,0,Transit,2018,Space,0,1,0,0.021,,1.418,2.6,5.01,,,87.989,0.0197,3.432,0.01324,,nan,5748.0,0.98,0.96,0.7762,0.072,2.34,,1.26996,,-5.31,16.2918523,1281.3756,335.4506923,-14.5933554,,13.267,,12.668,,,,11.445,11.144,11.075,11.051,11.091,10.871,8.752,-,---,0.1,0.1,1.0,0.0
0,K2-170 c,K2-170,c,1,2,0,Transit,2018,Space,0,1,0,0.034,,1.802,3.9,3.66,,,88.668,0.0311,4.176,0.01683,,nan,5748.0,0.98,0.96,0.7762,0.072,2.34,,1.26996,,-5.31,16.2918523,1281.3756,335.4506923,-14.5933554,,13.267,,12.668,,,,11.445,11.144,11.075,11.051,11.091,10.871,8.752,-,---,0.1,0.1,1.0,0.0
0,K2-171 b,K2-171,b,1,1,0,Transit,2018,Space,0,1,0,0.015,,2.687,7.69,2.18,,,85.048,0.0219,8.208,0.01434,,nan,5250.0,1.72,0.89,0.8128,0.516,1.95,,,,-9.97,9.0632341,1976.9228,332.3407712,-13.4288624,,13.536,,12.745,,,,11.101,10.614,10.529,10.459,10.522,10.42,8.898,-,---,0.1,0.1,1.0,0.0
0,K2-172 b,K2-172,b,1,2,0,Transit,2018,Space,0,1,0,0.039,,1.666,3.42,4.06,,,88.914,0.0375,3.84,0.01758,,nan,5569.0,0.87,0.93,0.871,-0.232,2.61,,2.1811,,22.44,56.0911787,814.5485,335.3081368,-12.5569819,,13.191,,12.5,,,,11.098,10.76,10.661,10.631,10.679,10.529,8.495,-,---,0.1,0.1,1.0,0.0
0,K2-172 c,K2-172,c,1,2,0,Transit,2018,Space,0,1,0,0.081,,3.206,10.4,1.73,,,89.497,0.1302,4.992,0.03382,,nan,5569.0,0.87,0.93,0.871,-0.202,2.61,,2.1811,,22.44,56.0911787,814.5485,335.3081368,-12.5569819,,13.191,,12.5,,,,11.098,10.76,10.661,10.631,10.679,10.529,8.495,-,---,0.1,0.1,1.0,0.0
0,K2-173 b,K2-173,b,1,1,0,Transit,2018,Space,0,1,0,0.016,,1.608,3.22,4.25,,,87.826,0.02,2.825,0.01749,,nan,5580.0,0.84,0.88,0.5623,-0.06,2.52,,1.38095,,102.96,67.7448693,745.7263,60.3752402,15.6251296,15.4793,13.262,12.9942,12.523,12.2159,11.9728,12.1386,10.778,10.386,10.299,10.214,10.245,10.134,8.909,-,---,0.1,0.1,1.0,0.0
0,K2-174 b,K2-174,b,1,1,0,Transit,2018,Space,0,1,0,0.054,0.126,2.6,7.27,2.27,,455.0,89.95,0.14,5.808,0.036,,nan,4455.0,0.68,0.7,1.2972,-0.773,2.62,,3.21,,-0.67,69.8701912,325.9254,60.7929729,16.347166,,13.657,,12.456,,,,10.231,9.649,9.496,9.436,9.507,9.362001,8.935,-,---,0.188240350643,0.1,1.0,0.0
0,K2-175 b,K2-175,b,1,1,0,Transit,2018,Space,0,1,0,0.026,,2.038,4.81,3.12,,,87.494,,,0.01316,,nan,5909.0,1.42,1.09,1.122,0.419,2.11,,0.3256,,-32.58,22.1913971,806.4729,52.5035514,17.5841081,,11.505,,10.836,,,,9.563,9.28,9.195,9.113,9.145001,9.097,8.322,-,---,0.1,0.1,1.0,0.0
0,K2-176 b,K2-176,b,1,1,0,Transit,2018,Space,0,1,0,0.015,,1.491,2.83,4.69,,,88.063,0.026,2.76,0.01582,,nan,5428.0,0.86,0.94,1.4125,-0.348,2.63,,1.2831,,-27.3,30.8939386,806.5903,58.2691796,17.9069486,,13.759,,12.909,,,,11.226,10.807,10.726,10.673,10.712,10.763,9.053001,-,---,0.1,0.1,1.0,0.0
